dbid,jp_name,en_name
"128","魔法陣","pentagram"
"129","小さい観葉植物","small foliage plant"
"130","木香薔薇","rose"
"131","大きい観葉植物","large foliage plant"
"132","サルビアの花","sage"
"133","ガザニアの花","gazania"
"134","ネリネの花","nerine"
"135","アネモネの花","anemos"
"136","猫じゃらし","foxtail grass"
"137","カーネーションの花","carnation"
"138","植物で飾られた柱","statue ornamented with plants"
"139","花で飾られた柱","statue ornamented with flowers"
"140","絵描き道具","canvas"
"141","地図","map"
"142","調理機","food maker"
"143","たくさんの弓","bows"
"144","武器の束","weapons"
"145","飾られた服","decorated cloth"
"146","飾られた鎧","decorated armor"
"147","鎧の像","armor"
"148","散らかった本","disorderly book"
"149","本の山","books"
"150","名工箪笥","craft rack"
"151","名工本棚","craft book shelf"
"152","飲みきれないほどの酒","alcohols"
"153","調理台","kitchen"
"154","流し台","sink"
"155","コンロ付き調理台","kitchen oven"
"156","狭い食卓","narrow dining table"
"157","上品なテーブル","elegant table"
"158","絢爛な燭台","gorgeous candlestick"
"159","単なる棚","simple shelf"
"160","裁縫セット","sewing kit"
"161","工具","carpenter's tool"
"162","散らばった衣類","messy cloth"
"163","絹の生地","silk cloth"
"164","風化した墓","collapsed grave"
"165","崩れた墓","crumbled grave"
"166","花で飾られた墓","ornamented with flowers"
"167","新品の墓","brand new grave"
"168","荘厳な墓","solemn tomb"
"169","古墳","ancient tomb"
"170","古めかしい墓","old grave"
"171","祭壇","altar"
"172","儀式用の祭壇","ceremony altar"
"173","噴水","fountain"
"174","二段ベッド","bunk bed"
"175","稲妻の軌跡の魔杖","lightning bolt"
"176","鈍足の魔杖","slow"
"177","クワパナ","quwapana"
"178","アロエ","aloe"
"179","山菜","edible wild plant"
"180","リンゴ","apple"
"181","ブドウ","grape"
"182","キウイ","kiwi"
"183","さくらんぼ","cherry"
"184","グアバ","guava"
"185","キャロット","carrot"
"186","大根","radish"
"187","さつまいも","sweet potato"
"188","レタス","lettuce"
"189","食器の山","dish"
"190","イーモ","imo"
"191","アピの実","api nut"
"192","苺","strawberry"
"193","薬草","healthy leaf"
"194","万色フルーツ","rainbow fruit"
"195","クッチェ","qucche"
"196","夏ミカン","tangerine"
"197","レモン","lemon"
"198","グリーンピース","green pea"
"199","カボチ","cbocchi"
"200","ウリ","melon"
"201","レッチョ","leccho"
"202","千里眼の魔杖","magic mapping"
"203","癒しの魔杖","cure"
"204","死体","corpse"
"205","ウィスキー","whisky"
"206","《エーテルダガー》","<Ether Dagger>"
"207","《異形の森の弓》","<Bow of Vinderre>"
"208","途方も価値のない錆びた偽物の金塊","worthless fake gold bar"
"209","解呪の巻物","uncurse"
"210","小石","stone"
"211","鎌","sickle"
"212","杖","staff"
"213","長槍","spear"
"214","鉱石の欠片","ore piece"
"215","たくさんの空のビン","empty bottles"
"216","バスケット","basket"
"217","空っぽの鉢","empty bowl"
"218","鉢","bowl"
"219","頑丈なロープ","tight rope"
"220","魚の死骸","dead fish"
"221","藁","straw"
"222","動物の骨","animal bone"
"223","鍋","pot"
"224","刀","katana"
"225","海賊刀","scimitar"
"226","戦斧","battle axe"
"227","大槌","hammer"
"228","三叉槍","trident"
"229","長棒","long staff"
"230","短弓","short bow"
"231","機関銃","machine gun"
"232","大剣","claymore"
"233","兵糧","ration"
"234","大斧","bardish"
"235","鉾槍","halberd"
"236","帰還の巻物","return"
"237","フィギア『狂戦士』","warrior"
"238","フィギア『伝説の剣』","sword"
"239","宝石で飾られた宝箱","bejeweled chest"
"240","宝箱","chest"
"241","金庫","safe"
"242","魔法の地図","magical map"
"243","能力獲得の巻物","gain attribute"
"244","不思議な巻物","wonder"
"245","ショートテレポートの巻物","minor teleportation"
"246","魔法の地図の魔法書","magic mapping"
"247","神託の魔法書","oracle"
"248","帰還の魔法書","return"
"249","軽傷治癒の魔法書","cure minor wound"
"250","致命傷治癒の魔法書","cure critical wound"
"251","エリスの癒しの魔法書","cure <Eris>"
"252","ジュアの癒しの魔法書","cure <Jure>"
"253","ビア","beer"
"254","ホーン","horn"
"255","焚き火","campfire"
"256","携帯調理道具","portable cooking tool"
"257","魔法の矢の魔法書","magic arrow"
"258","スティックパン","stick bread"
"259","生麺","raw noodle"
"260","小麦粉","flour"
"261","はじけ魚","bomb fish"
"262","毒薬","poison"
"263","地獄の吐息の魔法書","nether sigh"
"264","混沌の瞳の魔法書","chaos eye"
"265","神経の針の魔法書","nerve needle"
"266","忍刀","wakizashi"
"267","ダークネスボルトの魔法書","darkness bolt"
"268","マインドボルトの魔法書","mind bolt"
"269","氷結の波動の魔法書","freezing wave"
"270","灼熱の嵐の魔法書","burning storm"
"271","轟音の波動の魔法書","howling wave"
"272","混沌の渦の魔法書","chaos vortex"
"273","薪","fire wood"
"274","かかし","scarecrow"
"275","ほうき","broom"
"276","長い柱","long pillar"
"277","折れた柱","broken pillar"
"278","街灯","street lamp"
"279","水桶","water tub"
"280","落ち着くテーブル","comfortable table"
"281","浮き輪","inner tube"
"282","意味深な地図","mysterious map"
"283","カバン(落し物)","suitcase"
"284","財布(落し物)","wallet"
"285","肉体復活のポーション","restore body"
"286","精神復活のポーション","restore spirit"
"287","潜在能力のポーション","potential"
"288","呪縛の巻物","curse"
"289","願いの魔法書","wishing"
"290","願いの魔杖","wishing"
"291","整備された武具","well kept armor"
"292","日用品の棚","good"
"293","装飾品の棚","accessaries"
"294","タオル","towel"
"295","ぼろい机","ragged table"
"296","お酒のキャビネット","cabinet"
"297","高級ベッド","luxury bed"
"298","高価な花瓶","vase"
"299","高級ミラー","high grade dresser"
"300","高収納バーテーブル","neat bar table"
"301","大きな花束","large bouquet"
"302","衣類箪笥","clothes"
"303","巨大なベッド","giant bed"
"304","粗末なベッド","plain bed"
"305","棺桶","coffin"
"306","フードプロセッサー","food processor"
"307","落ち着くベッド","soft bed"
"308","簡易棚","cheap rack"
"309","鏡台","dresser"
"310","清潔なベッド","clean bed"
"311","風呂","bathtub"
"312","パチスロマシーン","pachisuro machine"
"313","カジノテーブル","casino table"
"314","スロットマシーン","slot machine"
"315","ダーツ","darts board"
"316","特大の観葉植物","big foliage plant"
"317","古い棚","old shelf"
"318","古い本棚","old bookshelf"
"319","簡易ベッド","cheap bed"
"320","でこぼこした机","cheap table"
"321","小奇麗な棚","neat rack"
"322","シンプルな鏡台","simple dresser"
"323","大きい食器棚","big cupboard"
"324","神聖な祭壇","sacred altar"
"325","ふかふかのベッド","comfortable bed"
"326","シンプルな棚","simple rack"
"327","長椅子","wide chair"
"328","アップライトピアノ","upright piano"
"329","十字架","cross"
"330","切り株","stump"
"331","ドレス","dress"
"332","テーブル","table"
"333","旅糧(荷車)","traveler's food"
"334","王座","throne"
"335","金の飾台","golden pedestal"
"336","金の像","golden statue"
"337","皮","skin"
"338","体液","blood"
"339","瞳","eye"
"340","心臓","heart"
"341","骨片","bone"
"342","釣竿","fishing pole"
"343","懐かしいルーン","rune"
"344","権利書","deed"
"345","ムーンフィッシュ","moonfish"
"346","サーディン","sardine"
"347","フラットフィッシュ","flatfish"
"348","マンボー","manboo"
"349","シーブリーム","seabream"
"350","サーモン","salmon"
"351","グローブフィッシュ","globefish"
"352","ツナ","tuna"
"353","カトラスフィッシュ","cutlassfish"
"354","サンドボーラー","sandborer"
"355","《火炎竜ヴェスダの篭手》","<Gloves of Vesda>"
"356","《ブラッドムーン》","<Blood Moon>"
"357","《鋼鉄竜の指輪》","<Ring of Steel Dragon>"
"358","《狂気の杖》","<Staff of Insanity>"
"359","《ランキス》","<Rankis>"
"360","《パルミア・プライド》","<Palmia Pride>"
"361","商人のカバン","shopkeeper's trunk"
"362","*鑑定*の巻物","greater identify"
"363","*解呪*の巻物","vanish curse"
"364","防衛者のポーション","defender"
"365","聖なる盾の魔法書","holy shield"
"366","沈黙の魔杖","silence"
"367","沈黙の霧の魔法書","silence"
"368","沈黙のポーション","silence"
"369","リジェネレーションの魔法書","regeneration"
"370","トロールの血","troll blood"
"371","属性保護の魔法書","resistance"
"372","属性耐性のポーション","resistance"
"373","加速の魔法書","speed"
"374","鈍足の魔法書","slow"
"375","加速のポーション","speed"
"376","鈍足のポーション","slow"
"377","加速の魔杖","speed"
"378","英雄の魔法書","hero"
"379","英雄気分のポーション","hero"
"380","脆弱の霧の魔法書","weakness"
"381","元素の傷跡の魔法書","elemental scar"
"382","脆弱のポーション","weakness"
"383","ホーリーヴェイルの魔法書","holy veil"
"384","ホーリーヴェイルの巻物","holy veil"
"385","浄化の魔杖","holy light"
"386","清浄なる光の魔法書","holy light"
"387","全浄化の魔法書","holy rain"
"388","清浄なる光の巻物","holy light"
"389","全浄化の巻物","holy rain"
"390","魔力の巻物","mana"
"391","魔力の魔杖","mana"
"392","硫酸","sulfuric"
"393","宝石加工ツール","gem cutter"
"394","素材箱","material box"
"395","マテリアル生成の巻物","gain material"
"396","ナイトメアの魔法書","nightmare"
"397","知者の加護の魔法書","knowledge"
"398","知恵の巻物","knowledge"
"399","特産ぬいぐるみ(荷車)","rag doll"
"400","匠のタル(荷車)","barrel"
"401","装飾ピアノ(荷車)","piano"
"402","ロープ(荷車)","rope"
"403","棺桶(荷車)","coffin"
"404","マンボー(荷車)","manboo"
"405","墓(荷車)","grave"
"406","ツナ(荷車)","tuna fish"
"407","銘酒セット(荷車)","whisky"
"408","貴族の玩具(荷車)","noble toy"
"409","浮き輪(荷車)","inner tube"
"410","物質感知の魔法書","detect objects"
"411","物質感知の巻物","detect objects"
"412","解呪の魔杖","uncurse"
"413","赤のガシャポン","red treasure machine"
"414","青のガシャポン","blue treasure machine"
"415","ガシャポンの玉","treasure ball"
"416","ガシャポンの玉(レア)","rare treasure ball"
"417","野菜の種","vegetable seed"
"418","果物の種","fruit seed"
"419","ハーブの種","herb seed"
"420","謎の種","unknown seed"
"421","アーティファクトの種","artifact seed"
"422","モージア","morgia"
"423","マレイロン","mareilon"
"424","スペンスウィード","spenseweed"
"425","キュラリア","curaria"
"426","アルローニア","alraunia"
"427","ストマフィリア","stomafillia"
"428","寝袋","sleeping bag"
"429","失耐性のポーション","weaken resistance"
"430","成長の巻物","growth"
"431","信仰の巻物","faith"
"432","突然変異のポーション","mutation"
"433","変異治療のポーション","cure mutation"
"434","自己変容の魔法書","mutation"
"435","厚鎧","banded mail"
"436","重層鎧","plate mail"
"437","輪鎧","ring mail"
"438","合成鎧","composite mail"
"439","綴り鎧","chain mail"
"440","法王衣","pope robe"
"441","軽鎧","light mail"
"442","防護服","coat"
"443","胴衣","breast plate"
"444","防弾服","bulletproof jacket"
"445","手袋","gloves"
"446","重層篭手","plate gauntlets"
"447","軽手袋","light gloves"
"448","合成篭手","composite gauntlets"
"449","小盾","small shield"
"450","丸型盾","round shield"
"451","盾","shield"
"452","合成盾","large shield"
"453","長盾","kite shield"
"454","重層盾","tower shield"
"455","履物","shoes"
"456","靴","boots"
"457","厚靴","tight boots"
"458","装甲靴","armored boots"
"459","合成腰当","composite girdle"
"460","重層腰当","plate girdle"
"461","防護外套","armored cloak"
"462","外套","cloak"
"463","羽帽子","feather hat"
"464","重兜","heavy helm"
"465","騎士兜","knight helm"
"466","兜","helm"
"467","合金兜","composite helm"
"468","ペリドット","peridot"
"469","護符","talisman"
"470","首当て","neck guard"
"471","お守り","charm"
"472","細工首輪","bejeweled amulet"
"473","結婚首輪","engagement amulet"
"474","合金指輪","composite ring"
"475","指当て","armored ring"
"476","指輪","ring"
"477","結婚指輪","engagement ring"
"478","聴診器","stethoscope"
"479","援軍の巻物","ally"
"480","支配の魔杖","domination"
"481","支配の魔法書","domination"
"482","機械弓","crossbow"
"483","クロスボウの矢束","bolt"
"484","蜘蛛の巣の魔法書","web"
"485","蜘蛛の巣の魔杖","web"
"486","電子機械","machine"
"487","コンピューター","computer"
"488","トレーニングマシーン","training machine"
"489","カメラ","camera"
"490","レンジ","microwave oven"
"491","サーバー","server"
"492","ストレージ","storage"
"493","トラッシュカン","trash can"
"494","チップ","chip"
"495","ブランクディスク","blank disc"
"496","散弾銃","shot gun"
"497","ポップコーン","pop corn"
"498","フライドポテト","fried potato"
"499","サイバースナック","cyber snack"
"500","劣悪素材の巻物","inferior material"
"501","素材変化の巻物","change material"
"502","*素材変化*の巻物","superior material"
"503","はく製","figurine"
"504","カード","card"
"505","妹の日記","little sister's diary"
"506","武器強化の巻物","enchant weapon"
"507","*武器強化*の巻物","greater enchant weapon"
"508","防具強化の巻物","enchant armor"
"509","*防具強化*の巻物","greater enchant armor"
"510","形見のカバン","heir trunk"
"511","遺産相続の権利書","heirship"
"512","光子銃","laser gun"
"513","光子弾","energy cell"
"514","《レールガン》","<Rail Gun>"
"515","充填の巻物","recharge"
"516","水","water"
"517","変化の魔杖","change creature"
"518","錬金術の魔杖","alchemy"
"519","染料","dye"
"520","翼","wing"
"521","博物館の権利書","museum"
"522","店の権利書","shop"
"523","ブナの木","beech"
"524","スギの木","cedar"
"525","果実のない木","fruitless"
"526","果実の木","fruits"
"527","枯れ木","dead tree"
"528","ケヤキの木","zelkova"
"529","ヤシの木","palm"
"530","トネリコの木","ash"
"531","溶鉱炉","furnance"
"532","暖炉","fireplace"
"533","かまど","stove"
"534","巨大な観葉植物","giant foliage plant"
"535","巨大なテーブル","big table"
"536","絵画《マダム》","madam"
"537","絵画《風景》","landscape"
"538","絵画《ひまわり》","sunflower"
"539","猫の像","cat"
"540","黒水晶","black crystal"
"541","雪だるま","snow man"
"542","畑の権利書","farm"
"543","倉庫の権利書","storage house"
"544","ディスク","disc"
"545","壁生成の魔杖","wall creation"
"546","壁生成の魔法書","wall creation"
"547","給料箱","salary chest"
"548","治癒の雨の魔法書","healing rain"
"549","治癒の雨の巻物","healing rain"
"550","癒しの手の魔法書","healing hands"
"551","癒しの手の魔杖","healing hands"
"552","羽","feather"
"553","宝石の種","gem seed"
"554","魔法の木の種","magical seed"
"555","シェルター","shelter"
"556","セブンリーグブーツ","seven league boots"
"557","ヴィンデールクローク","vindale cloak"
"558","オーロラリング","aurora ring"
"559","エーテル抗体のポーション","cure corruption"
"560","主の納入箱","master's delivery chest"
"561","店の金庫","shop strongbox"
"562","レジスター","register"
"563","学習書","textbook"
"564","酸の海の魔法書","acid ground"
"565","酸の滴る杖","acid ground"
"566","耐酸性コーティング液","acidproof liquid"
"567","耐火ブランケット","fireproof blanket"
"568","耐冷ブランケット","coldproof blanket"
"569","炎の壁の魔法書","fire wall"
"570","炎の壁の魔杖","fire wall"
"571","干し肉","jerky"
"572","牧場の権利書","ranch"
"573","卵","egg"
"574","乳","milk"
"575","フン","shit"
"576","ムービーディスク","playback disc"
"577","火炎瓶","molotov"
"578","貯金箱","kitty bank"
"579","冷蔵庫","freezer"
"580","普通の棚","modern rack"
"581","扉生成の魔杖","make door"
"582","扉生成の魔法書","make door"
"583","松明","torch"
"584","キャンドル","candle"
"585","奇抜なランプ","fancy lamp"
"586","モダンな街灯","modern lamp"
"587","雪","snow"
"588","葉の散った木","naked"
"589","モミの木","fir"
"590","雪かかし","snow scarecrow"
"591","ミニ雪だるま","mini snow man"
"592","雪をかぶったタル","snow barrel"
"593","雪をかぶったモダンな街灯","modern lamp"
"594","聖なる十字架","holy cross"
"595","扇形の柱","pillar"
"596","ステンドグラス","stained glass window"
"597","直送クリスマスツリー(荷車)","christmas tree"
"598","スノーマン(荷車)","snow man"
"599","クリスマスツリー","christmas tree"
"600","巨人の足枷","giant's shackle"
"601","空き瓶","empty bottle"
"602","聖なる井戸","holy well"
"603","ボスチェア","president's chair"
"604","目に優しい植物","green plant"
"605","パキラ","money tree"
"606","バーベキューセット","barbecue set"
"607","巨大サボテン","giant cactus"
"608","格子窓","square window"
"609","窓","window"
"610","三角木","triangle plant"
"611","ハウスボード","house board"
"612","アットホームな窓","nice window"
"613","王様ベッド","king's bed"
"614","フラワーアーチ","flower arch"
"615","請求書","bill"
"616","徴税士の納税箱","tax master's tax box"
"617","","bait"
"618","",""
"619","",""
"620","媚薬","love potion"
"621","宝の地図","treasure map"
"622","小さなメダル","small medal"
"623","妹の秘密の日記","cat sister's diary"
"624","お嬢様の日記","girl's diary"
"625","鳥居","shrine gate"
"626","ヘルメスの血","hermes blood"
"627","《賢者の兜》","<Sage's Helm>"
"628","インコグニートの魔法書","incognito"
"629","変装セット","disguise set"
"630","素材槌","material kit"
"631","ムーンゲート","moon gate"
"632","羽の生えた巻物","flying scroll"
"633","ギャルのパンティー","panty"
"634","紐","leash"
"635","地雷","mine"
"636","ロックピック","lockpick"
"637","スケルトンキー","skeleton key"
"638","脱出の巻物","escape"
"639","幸運のリンゴ","happy apple"
"640","ユニコーンの角","unicorn horn"
"641","クーラーボックス","cooler box"
"642","米俵","rice barrel"
"643","布団","eastern bed"
"644","カーテン付きの窓","decorated window"
"645","王様箪笥","king drawer"
"646","メニューボード","menu board"
"647","黒板","black board"
"648","ソファー","sofa"
"649","フェンス付き花壇","flowerbed"
"650","トイレ","toilet"
"651","名工食器棚","craft cupboard"
"652","シンク","sink"
"653","廃品","junk"
"654","ダブルベッド","double bed"
"655","英雄チーズ","hero cheese"
"656","灯篭","eastern lamp"
"657","東洋の窓","eastern window"
"658","提灯","chochin"
"659","パーティション","partition"
"660","暗黒の楔の魔法書","darkness wedge"
"661","《ダル=イ=サリオン》","<Dal-i-thalion>"
"662","マジックフルーツ","magic fruit"
"663","モンスターハート","monster heart"
"664","スピードの指輪","speed ring"
"665","オパートス像","Opatos"
"666","ルルウィ像","Lulwy"
"667","妹が愛を込めて作ったお弁当","sister's love fueled lunch"
"668","レイチェルの絵本","book"
"669","絵画(荷車)","art"
"670","お絵かきセット(荷車)","canvas"
"671","原子爆弾『Cat's Cradle』","nuclear bomb"
"672","秘宝","secret treasure"
"673","《ウィンドボウ》","<Wind Bow>"
"674","《ウィンチェスター・プレミアム》","<Winchester Premium>"
"675","《クミロミサイズ》","<Kumiromi Sythe>"
"676","《エレメンタルスタッフ》","<Elemental Staff)"
"677","《ホーリーランス》","<Holy Rance>"
"678","《ラッキーダガー》","<Lucky Dagger>"
"679","《大地の大槌》","Gaia Hammer>"
"680","ルルウィの神速の宝玉","god speed"
"681","ジュアの聖なる雨の宝玉","holy rain"
"682","クミロミの活性化の宝玉","rejuvenation"
"683","再構成マトリクス","matrix"
"684","能力複合機","gene machine"
"685","モンスターボール","monster ball"
"686","ジュア像","Jure"
"687","古書物","ancient book"
"688","アイアンメイデン","iron maiden"
"689","ギロチン","guillotine"
"690","パンフルート","pan flute"
"691","リュート","lute"
"692","ハーモニカ","harmonica"
"693","ハープ","harp"
"694","間仕切り","eastern partition"
"695","《破壊の斧》","<Axe of Destruction>"
"696","魔力の嵐の魔法書","magic storm"
"697","マジックボルトの魔法書","magic bolt"
"698","食塩水","salt solution"
"699","リトル捕獲玉","little ball"
"700","タウンブック","town book"
"701","デッキ","deck"
"702","うさぎのしっぽ","rabbit's tail"
"703","ホイッスル","whistle"
"704","ゲロゲロ","vomit"
"705","《乞食のペンダント》","<Begger's Pendant>"
"706","下落のポーション","descent"
"707","《ストラディバリウス》","<Stradivarius>"
"708","復活の書","resurrection"
"709","契約の巻物","contingency"
"710","契約の魔法書","contingency"
"711","進化のポーション","evolution"
"712","ダンジョンの権利書","dungeon"
"713","手裏剣","shuriken"
"714","手榴弾","grenade"
"715","クミロミの秘密の経験","Kumiromi"
"716","《バニラロック》","<Vanilla Rock>"
"717","ロミアスの秘密の経験","Lomias"
"718","《シーナのパンティー》","<Shena's Panty>"
"719","《クレイモア》","<Claymore>"
"720","幸せのベッド","happy bed"
"721","エヘカトル像","Ehekatl"
"722","《アルバレスト》","<Arbalest>"
"723","《ツインエッジ》","<Twin Edge>"
"724","音楽チケット","music ticket"
"725","《キルキルピアノ》","<Kill Kill Piano>"
"726","《アル・ウード》","<Al'ud>"
"727","《棘の盾》","<Shield ofThorn>"
"728","《紅凛》","<Crimson Plate>"
"729","おみやげ","gift"
"730","友情の証","friendship"
"731","四次元ポケットの魔法書","4 dimensional pocket"
"732","収穫の魔法書","harvest"
"733","サンドバッグ","sand bag"
"734","小さな宝くじ箱","small gamble chest"
"735","大鎌","scythe"
"736","耐熱コーティング液","fireproof liquid"
"737","名前の巻物","name"
"738","フォーチュンクッキー","fortune cookie"
"739","《フリージアの尻尾》","<Frisia's Tail>"
"740","《謎の貝》","<Unknown Shell>"
"741","《飛竜刀》","<Hiryu-To>"
"742","すくつ探索許可証","the void explorer"
"743","《カルネアデスの板》","Carneades"
"744","シュレディンガーの猫","Schrodinger's cat "
"745","こころ","heart"
"746","調教鞭","tamer's whip"
"747","ボコノンの書","Bokonon"
"748","召喚石","summoning crystal"
"749","創造主の像","Creator"
"750","昇り階段","upstairs"
"751","降り階段","downstairs"
"752","お年玉","new year's gift"
"753","こたつ","kotatsu"
"754","だるま","daruma"
"755","鏡もち","kagami mochi"
"756","もち","mochi"
"757","《五本角の兜》","<Five Horned Helm>"
"758","《マウザーC96カスタム》","<Mauser C96 Custom>"
"759","ライトセーバー","lightsabre"
"760","ガロクの槌","Garok's hammer"
"761","《グールドのピアノ》","<Gould's Piano>"
"762","聖夜祭の花冠","festival wreath"
"763","台座","pedestal"
"764","カウンター","counter"
"765","赤い屋根の屋台","red stall"
"766","青い屋根の屋台","blue stall"
"767","ジュアの抱き枕","Jure's body pillow"
"768","正月飾り","new year's decoration"
"769","ミニチュアツリー","miniature tree"
"770","ラムネ","soda"
"771","ブルーカプセルドラッグ","blue capsule drag"
"772","トマト","tomato"
"773","おっきな本棚","large bookshelf"
"774","高級キャビネット","luxury cabinet"
"775","特製肉まんじゅう","special steamed meat bun"
"776","クミロミ像","Kumiromi"
"777","マニ像","Mani"
"778","高級ソファー","luxury sofa"
"779","鹿の剥製","deer head"
"780","毛皮の敷物","fur carpet"
"781","包丁","kitchen knife"
"782","皿","dish"
"783","レシピ","recipe"
"784","カードパック","card pack"
"785","塩","salt"
"786","砂糖","sugar"
"787","ふかふかパン","puff puff bread"
"788","骨弓","skull bow"
"789","合成の壺","pot for fusion"
"790","《賢者の錬金釜》","pot of alchemist"
"791","《ドラゴン殺し》","<Dragon Slayer>"
"792","プチトロ","putitoro"
"793","《パイルバンカー帯電式Y型》","<Pile Driver>"
"794","《ネガティブエッヂ》","<Negative Edge>"
"795","《GAU-17ミニガン改》","<GAU-17 Custom>"
"796","《寛永通宝》","<Kaneituuhou>"
"797","ヤカテクトの小遣銭の宝玉","god medal"
"798","《轟海刀》","<Dynamic Saber>"
"799","ヴェルニースオリジナル","<Vernis Original>"
"800","《特殊防護スーツ》","<Awesome Swimwear>"
"801","《落椿》","<Oti-Tubaki>"
"802","《カストル＆ポルックス》","<Gemini >"
"803","《英雄のマント》","<Hero's cloak>"
"804","《ギガモールの骨鎌》","<Beast Sickle>"
"805","《神壊の大戦斧》","<God Breaker>"
"806","《G3-EXA》","<G3-EXA>"
"807","《ドレッドノート》","<Dreadnought>"
"808","《カインドネス》","<Kindness Blade>"
"809","姉の日記","OlderSister's diary"
"810","《ストームブリンガー》","<Stormbringer>"
"811","姉の秘密の日記","dog sister's diary"
"812","おにぎり","rice ball"
"813","《リボルケイン》","<Solar Cane>"
"814","《メタルヴェスダの機械翼》","<Metal Wing of Vesda>"
"815","砂のお城","sand castle"
"816","《ベーラヤ・スメルチ》","<Valkoinen Kuolema>"
"817","狙撃銃","sniper rifle"
"818","マニの切り札の宝玉","satellite shooter"
"819","《暴風の首輪》","<Tempest coller>"
"820","《運命の輪》","<Wheel of fortune>"
"821","《大地の足枷》","<Fetter of earth>"
"822","《神緑の茨》","<Green god thorn>"
"823","《機械拘束具》","<Mechanical binder>"
"824","《不殺の刺又》","<Sasumata>"
